Municipality,2009,2010,2011,2012,2013,2014,2015,2016
Karoo Hoogland,0,0.00034816662755302974,0.00010693978022607398,8.671110885111358e-05,9.092649857071594e-05,0.00011527216449377558,0.00010935153467861711,0.00012181249348070612
Dr JS Moroka,0,0,0,0,0.0032463445969854354,0.0022175436033375225,0.0030366252911541575,0.003893811083222059
Swartland,0.013381286030369128,0.01967856123175913,0.014079516339442807,0.008941948655226972,0.007166063177069757,0.04770136536047504,0.05169829473994192,0.02832483081161958
Blouberg,0.004222872646496065,0.002455542183665307,0.002709910842106611,0.0025366237700908535,0.01006302916205066,0.008228368583807131,0.012302390194444667,0.003949803474133427
Bela-Bela,0.005896427972215185,0.010327519102058303,0.009497704219193243,0.005425861868177051,0.027219966334422842,0.09985292157705804,0.016129388806041818,0.00963805173084889
Mogale City,0.012396743630709368,0.018663412346738895,0.009278878817657732,0.0062403673599893406,0.005668439403924684,0.08049930274278562,0.04754768945320372,0.05223753687928955
Knysna,0.006462757744985187,0.004359346201268297,0.004249985310363128,0.012789167790889077,0.022744059276285186,0.07960833952104977,0.12065561338425859,0.11667439600918843
Lephalale,0.0021996950735969794,0.0028037199384913715,0.0006582188358326132,0.0002779011435256056,0.002946283961308691,0.001962688149185033,0.0006637865802371513,0.0019505072928983635
Bushbuckridge,0,0.001233210171552171,0.000558671834975472,0.0016164069290204848,0.00175420690710996,0.002556164784108173,0.0010308518482610419,0.004396555726913222
City of Cape Town,0.00854514090776358,0.006155149709638127,0.0060252757500716,0.004540687848830763,0.002741333178744432,0.01926091243428272,0.02318566619100897,0.02304971109256477
Ubuntu,0.0632580103328427,0.25167500606842014,0.33455992298867154,0.2682601859960341,0.21787918682909851,0.4399411871508961,0.4108354877569529,0.01159336994518487
Greater Tzaneen,0.0023651385843326098,0.001821013488340713,0.005725408015669517,0.010758538580281515,0.007831219501962082,0.003788916383309203,0.009390127521680875,0.03275483259281067
Newcastle,0,0.0023030266791770376,0.0025445545186496194,0.001092511109123101,0.005534328275471118,0.006047221325358561,0.004670138409624815,0.0031605787126445634
